source	target	refs	use_shape	fix_shape	missing_capability	prerequisite	behaviour_delta	decision_needed	effort
sovereign-daemon	sovereign-scheduler	9	trait-bound	leaf-extract	scheduler-vocabulary leaf (VenueSource + InferenceVenue src/venue_host.rs:16, slot_aliases::resolution_alias_keys src/build/inference.rs:495, dyn VenueSource src/build/inference.rs:132)	none	none	none	M
sovereign-daemon	sovereign-peer-wire	8	type-only	leaf-extract	a commonwealth-rail-core wire-type leaf so peer-wire's only dep is a leaf (RingSyncRequest/RingSyncResponse/RING_SYNC_OPS_BUDGET_BYTES src/routes_internal/ring_sync.rs:103, MAX_REQUEST_BODY_BYTES src/server.rs:39)	rail-core wire-types split (§11: peer-wire is blocked on it)	none	none	M
sovereign-daemon	serving-policy	5	mixed	leaf-extract	a serving-policy leaf (fair_sched arithmetic src/state.rs:15, src/admission.rs:187; pipeline_aliases table src/state.rs:1024)	none	none	none	M
sovereign-daemon	sovereign-tdd	4	route-handler	wire	the bench program serving solve, or a solve port; src/solve_http.rs:37-39 runs tasks::solve/solve::{solve,SolveArgs,SolveOutcome} in-process	none	solve served by the bench program; route fails without it	none	S
sovereign-daemon	sovereign-authoring-harness	3	mixed	leaf-extract	a leaf/host home for the harness drive run_over_frozen_sample (src/recipe_http.rs:620; Declaration/HarnessRun :27)	none	none	none	S
sovereign-daemon	sovereign-enrichment-build	2	embed-construction	wire	an atlas-build service/dial (or the atlas writer leaf); src/atlas_builder.rs:41 ParsedBuild::from_inputs and :53 build_with_progress_with_embedder run in-process	the §11 atlas reader/writer leaf decision	atlas builds run in the ingest process; route fails without it	none	S
sovereign-cli-llm	corpus-engine	355	enrich_cmd 147 / other 69 / corpus_cmd 57 / awareness_cmd 41 / bench_cmd 27 / govern_cmd 12 / chat_cmd 2	mixed	structural	atlas reader leaf (atoms/governance_view reads, CorpusEngine turn path)	corpus-index sweep (done); bench+enrich+atlas split	none	Atlas read surface: new thin reader leaf, widen understanding-vocab, or lift from understanding-atlas?	L
sovereign-cli-llm	sovereign-eval	58	bench_cmd 58	embed	moves-with-split	-	cli-llm bench-crate split; retire the back-of-house [[exception]] (nc-3-backstage)	none	none	S
sovereign-cli-llm	sovereign-inference	31	bench_cmd 26 / chat_cmd 2 / corpus_cmd 1 / other 2	embed	wire	HTTP /v1/* provider for the in-process chat turn path	bench split (26/31 refs); daemon /v1/* dial path	chat bootstrap moves from an in-process SplitInferenceProvider to a remote dial	none	M
sovereign-cli-llm	sovereign-enrichment-build	25	enrich_cmd 24 / other 1	mixed	moves-with-split	-	cli-llm ingest-crate split	none	none	S
sovereign-cli-llm	sovereign-pods	19	pipeline_cmd 17 / other 2	embed	wire	owner-side pod provisioning surface (only the pod-side worker router exists; controller is a linked library)	ingest split; provisioning service on the owner side	pipeline provisions pods over HTTP instead of linking the controller	Expose owner-side pod provisioning over HTTP from cmnwlth, or move the pod controller into the ingest orchestrator?	M
sovereign-cli-llm	sovereign-gliner	12	bench_cmd 10 / corpus_cmd 2	embed	moves-with-split	-	cli-llm split (bench-side gliner usage dies per FIVE_PROGRAMS §11)	none	none	S
sovereign-cli-llm	sovereign-mesh	12	pipeline_cmd 7 / corpus_cmd 4 / other 1	mixed	wire	mesh node-identity/status HTTP surface (node id read from local persist files)	ingest split; daemon mesh-status surface	portfolio reads node identity via the daemon instead of the local persist files	Read node identity/status through the daemon's mesh surface, or leaf-extract persist::load_node_id?	M
sovereign-cli-llm	sovereign-pipeline	7	pipeline_cmd 4 / other 2 / awareness_cmd 1	mixed	moves-with-split	-	cli-llm ingest-crate split	none	none	S
sovereign-cli-llm	sovereign-runtime-recipe	6	chat_cmd 6	embed	wire	daemon-owned runtime/session construction (de-embed)	step-10 de-embed (daemon owns the turn runtime)	svrn chat session built from the daemon's runtime rather than an in-process commission	none	L
sovereign-cli-llm	corpus-engine-notes	4	chat_cmd 1 / awareness_cmd 1 / other 2	embed	port	-	AgentNotes port (built); injection seam at session construction	none	Which non-svrn host constructs the concrete NoteStore injected as Arc<dyn AgentNotes>?	S
sovereign-cli-llm	sovereign-enrichment-catalog	3	enrich_cmd 2 / other 1	mixed	moves-with-split	-	cli-llm ingest-crate split	none	none	S
sovereign-cli-llm	sovereign-authoring-harness	3	other 3	embed	leaf-extract	leaf for run_over_frozen_sample/render_report (the drive cannot live in ingest)	ingest split	none	Move the recipe-test drive to the bench host, or lift run_over_frozen_sample/render_report into a leaf?	M
sovereign-cli-llm	commonwealth-state	2	other 2	embed	structural	persistent/remotely-readable mesh store (daemon store is in-memory; the wire attempt was reverted)	store persistence or a store HTTP surface (wire attempt reverted)	portfolio/newsworthy reach the mesh store remotely, or move into the daemon	Move portfolio/newsworthy into the daemon, or expose the in-memory mesh store over the wire (the reverted attempt)?	L
sovereign-cli-llm	sovereign-cli-mesh	1	chat_cmd 1	route	keep	-	-	none	none	S
sovereign-cli-dev	sovereign-cli-shared	135	const	leaf-extract	thin half promoted to package_leaf (help/dirs/dispatcher/guest_link)	split fat half (code_index, scip, observation, rail) out of sovereign-cli-shared	none	none	M
sovereign-cli-dev	sovereign-work-atlas	26	route	structural	ownership of the work atlas (place or delete)	phase-1 re-measure (Observations unimplemented)	none	Place sovereign-work-atlas in [code], or let it join atos?	M
sovereign-cli-dev	sovereign-core	22	type-only	leaf-extract	client-side SetupConfig + rebrand accessor in a leaf	relocate svrnmesh_root / SetupConfig accessor	none	none	M
sovereign-cli-dev	corpus-engine	16	mixed	wire	daemon route to build the project code-corpus	step-10 de-embed / daemon project index route	project index build becomes a daemon call	none	L
sovereign-cli-dev	sovereign-tools	13	route	structural	note-pattern/diff-extract machinery owned by [code]	none	none	Move sovereign-tools::notes::{patterns,diff_extract} into [code]?	M
sovereign-cli-dev	sovereign-mesh	9	mixed	wire	daemon mesh-KV + node-identity routes (resolve_self_node_id -> leaf)	step-10 de-embed	mesh KV opened directly becomes daemon-mediated	none	M
sovereign-cli-dev	sovereign-daemon	3	route	wire	project-scoped daemon /mcp root + tools/list_changed fan-out	daemon project /mcp (probe REFUSED, FIVE_PROGRAMS §11)	none	none	M
sovereign-cli-dev	sovereign-store	2	type-only	port	StateStore trait in sovereign-contracts; construction at composition root	StateStore port (mirrors RecipeNotes, §11)	none	none	M
sovereign-cli-dev	sovereign-enrichment-build	2	type-only	leaf-extract	DaemonInferenceClient in a leaf; ChatPrompt/InferenceFn/Error moved below	move ChatPrompt/InferenceFn into a contract leaf (probe REFUSED, §11)	scoring call may change dial/provider	Repoint cli-dev's scoring to oicp-client::RemoteApiProvider, or move the engine types down?	M
sovereign-tools	corpus-engine	286	atlas-read	leaf-extract	atlas reader leaf (172 enrichment); CorpusEngine/recipe residue (114) split separately	FIVE_PROGRAMS §11 atlas carve	none	New atlas reader leaf, or widen understanding-vocab?	L
sovereign-tools	corpus-engine-notes	9	route	port	opener reachable without naming corpus-engine-notes; response_mine module home	mesh test-tree move (landscape_digest_http_e2e)	none	Where does the response_mine re-export live?	M
sovereign-tools	sovereign-enrichment-catalog	6	type-only	port	enrichment catalog reader port in contracts (list_enriched_corpora_in)	none	none	none	S
sovereign-tools	sovereign-recipe-author	2	trait	port	FeatureStore port in sovereign-contracts; drop the pub use shim	shim removal may open consumer edges	none	none	M
sovereign-cli	commonwealth-work	18	type-only	wire	submitter route + daemon_wire types; distribute submits over HTTP	daemon work-submit route (§11 recommends the wire boundary)	distribute stops writing the rail in-process	Wire boundary via the daemon (recommended), or keep the link?	L
sovereign-cli	corpus-engine-notes	4	route	port	notes opener via the AgentNotes port / factory	factory in [code] (sovereign_code::open_agent_notes)	none	Trade for svrn -> code via a notes-opener factory, or keep the link?	M
sovereign-cli	corpus-engine	3	type-only	wire	route project_init's index step through the daemon	daemon project index route	init needs a daemon (or zero-vector fallback)	none	M
sovereign-cli-daemon	sovereign-inference	28	mixed	exec	standalone rpc-worker/llama-log/hardware-detect surfaces the setup verb can call	setup_planner portable but clears zero; 18 refs need HTTP/binary (§11)	none	none	L
sovereign-cli-daemon	corpus-engine-watchers	8	const	leaf-extract	watcher projects Registry/ProjectEntry schema in a leaf (or dial)	none	none	none	M
sovereign-cli-daemon	sovereign-mesh	2	type-only	structural	join-key validation re-homed below the contract seam	extract validate_join_key_format from membership (probe REFUSED, §11)	none	none	M
sovereign-runtime-recipe	sovereign-tools	18	route	structural	split runtime assembly -> [svrn], ingest lane stays in [ingest]	operator placement decision	none	Does the Runtime recipe move to [svrn], or split assembly from the ingest lane?	L
sovereign-runtime-recipe	sovereign-core	11	type-only	structural	split runtime assembly -> [svrn], ingest lane stays in [ingest]	operator placement decision	none	Does the Runtime recipe move to [svrn], or split assembly from the ingest lane?	M
sovereign-runtime-recipe	sovereign-inference	6	route	structural	split runtime assembly -> [svrn], ingest lane stays in [ingest]	operator placement decision	none	Does the Runtime recipe move to [svrn], or split assembly from the ingest lane?	M
corpus-mcp	corpus-engine	32	mixed	structural	re-home corpus-mcp into [ingest]	operator membership decision	none	Does corpus-mcp belong to [ingest] or [svrn]?	S
corpus-mcp	sovereign-enrichment-build	4	route	structural	re-home corpus-mcp into [ingest]	operator membership decision	none	Does corpus-mcp belong to [ingest] or [svrn]?	S
sovereign-cli-mesh	sovereign-cli-shared	86	const	leaf-extract	thin half promoted to package_leaf	split fat half (code_index, scip, observation, rail)	none	none	M
sovereign-cli-mesh	sovereign-daemon	12	mixed	wire	mesh_http/roster_repair DTOs into contracts::daemon_wire; guest_door rendering home	step-10 de-embed	none	none	M
sovereign-cli-shared	corpus-engine	6	type-only	structural	code_index module belongs to [code]	split cli-shared (fat half)	none	none	M
sovereign-cli-shared	commonwealth-rail	3	type-only	leaf-extract	rail wire types (RailAct/Admission/Roster/Payload) into a leaf (peer-wire)	rail-core wire types move down	none	none	M
sovereign-core	corpus-engine	65	atlas-read	leaf-extract	atlas reader leaf (39); CorpusEngine/meta_atlas/Wikipedia residue dial/split	FIVE_PROGRAMS §11 atlas carve	none	New atlas reader leaf, or widen understanding-vocab?	L
sovereign-core	corpus-engine-notes	11	test-only	keep	-	-	none	Move the 3 real-SQL tests beside corpus-engine-notes, or grandfather the test edge?	S
sovereign-code	corpus-engine	3	test-only	structural	e2e_code_intel's in-process CorpusEngine ingest	minted index fixture or move tests to [ingest] (probe REFUSED, §11)	none	Move e2e_code_intel to [ingest], or mint the fixture?	M
sovereign-grants	corpus-engine	22	mixed	wire	dialed ingest canonical-merge service	ingest canonical-merge route/worker	canonical merge becomes cross-process	Does grants dial an ingest canonical-merge service, or drop the responsibility?	L
sovereign-mesh	corpus-engine	6	mixed	wire	canonical_sync/CorpusEngine -> dial ingest; atlas read -> leaf	ingest canonical-pull route + atlas leaf	canonical pull becomes cross-process	none	L
sovereign-meshapp	corpus-engine	11	atlas-read	leaf-extract	atlas reader leaf (10 enrichment + chunkers::threaded_turns)	FIVE_PROGRAMS §11 atlas carve	none	New atlas reader leaf, or widen understanding-vocab?	M
